hsa:226 hsa:229 hsa:230;ALDOA, ALDA, GSD12, HEL-S-87p;hsa00010
hsa:217 hsa:219 hsa:223 hsa:224 hsa:501;ALDH2, ALDH-E2, ALDHI, ALDM;hsa00010
hsa:218 hsa:220 hsa:221 hsa:222;ALDH3A1, ALDH3, ALDHIII;hsa00010
hsa:10327;AKR1A1, ALDR1, ALR, ARM, DD3, HEL-S-6;hsa00010
hsa:124 hsa:125 hsa:126 hsa:127 hsa:128 hsa:130 hsa:131;ADH1A, ADH1;hsa00010
hsa:5160 hsa:5161 hsa:5162;PDHA1, PDHA, PDHAD, PDHCE1A, PHE1A;hsa00010
hsa:5160 hsa:5161 hsa:5162;PDHA1, PDHA, PDHAD, PDHCE1A, PHE1A;hsa00010
hsa:1737;DLAT, DLTA, PDC-E2, PDCE2;hsa00010
hsa:160287 hsa:3939 hsa:3945 hsa:3948 hsa:92483;LDHAL6A, LDH6A;hsa00010
hsa:5313 hsa:5315;PKLR, PK1, PKL, PKR, PKRL, RPK;hsa00010
hsa:2023 hsa:2026 hsa:2027 hsa:387712;ENO1, ENO1L1, HEL-S-17, MPB1, NNE, PPH;hsa00010
hsa:441531 hsa:5223 hsa:5224 hsa:669;PGAM4, PGAM-B, PGAM1, PGAM3, dJ1000K24.1;hsa00010
hsa:2597 hsa:26330;GAPDH, G3PD, GAPD, HEL-S-162eP;hsa00010
hsa:7167;TPI1, HEL-S-49, TIM, TPI, TPID;hsa00010
hsa:5211 hsa:5213 hsa:5214;PFKL, ATP-PFK, PFK-B, PFK-L;hsa00010
hsa:2203 hsa:8789;FBP1, FBP;hsa00010
hsa:2821;GPI, AMF, GNPI, NLK, PGI, PHI, SA-36, SA36;hsa00010
hsa:5236 hsa:55276;PGM1, CDG1T, GSD14;hsa00010
hsa:2821;GPI, AMF, GNPI, NLK, PGI, PHI, SA-36, SA36;hsa00010
hsa:3098 hsa:3099 hsa:3101 hsa:80201;HK1, HK, HK1-ta, HK1-tb, HK1-tc, HKD, HKI, HMSNR, HXK1, RP79, hexokinase;hsa00010
hsa:2645;GCK, FGQTL3, GK, GLK, HHF3, HK4, HKIV, HXKP, LGLK, MODY2;hsa00010
hsa:2821;GPI, AMF, GNPI, NLK, PGI, PHI, SA-36, SA36;hsa00010
hsa:130589;GALM, BLOCK25, GLAT, HEL-S-63p, IBD1;hsa00010
hsa:2645;GCK, FGQTL3, GK, GLK, HHF3, HK4, HKIV, HXKP, LGLK, MODY2;hsa00010
hsa:3098 hsa:3099 hsa:3101 hsa:80201;HK1, HK, HK1-ta, HK1-tb, HK1-tc, HKD, HKI, HMSNR, HXK1, RP79, hexokinase;hsa00010
hsa:2538 hsa:57818 hsa:92579;G6PC, G6PC1, G6PT, G6Pase, GSD1, GSD1a;hsa00010
hsa:1738;DLD, DLDD, DLDH, E3, GCSL, LAD, PHE3;hsa00010
hsa:5230 hsa:5232;PGK1, HEL-S-68p, MIG10, PGKA;hsa00010
hsa:5105 hsa:5106;PCK1, PCKDC, PEPCK-C, PEPCK1, PEPCKC;hsa00010
hsa:669;BPGM, DPGM;hsa00010
hsa:669;BPGM, DPGM;hsa00010
hsa:55902 hsa:84532;ACSS2, ACAS2, ACECS, ACS, ACSA, dJ1161H23.1;hsa00010
hsa:83440;ADPGK, 2610017G09Rik, ADP-GK;hsa00010
hsa:83440;ADPGK, 2610017G09Rik, ADP-GK;hsa00010
hsa:9562;MINPP1, HIPER1, MINPP2, MIPP;hsa00010
hsa:1738;DLD, DLDD, DLDH, E3, GCSL, LAD, PHE3;hsa00020
hsa:4967 hsa:55753;OGDH, AKGDH, E1k, OGDC;hsa00020
hsa:4967 hsa:55753;OGDH, AKGDH, E1k, OGDC;hsa00020
hsa:1743;DLST, DLTS;hsa00020
hsa:8801 hsa:8802 hsa:8803;SUCLG2, G-SCS, GBETA, GTPSCS;hsa00020
hsa:8801 hsa:8802 hsa:8803;SUCLG2, G-SCS, GBETA, GTPSCS;hsa00020
hsa:3417 hsa:3418;IDH1, HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD;hsa00020
hsa:3419 hsa:3420 hsa:3421;IDH3A;hsa00020
hsa:3417 hsa:3418;IDH1, HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD;hsa00020
hsa:47;ACLY, ACL, ATPCL, CLATP;hsa00020
hsa:2271;FH, FMRD, HLRCC, LRCC, MCL, MCUL1;hsa00020
hsa:48 hsa:50;ACO1, ACONS, HEL60, IREB1, IREBP, IREBP1, IRP1;hsa00020
hsa:48 hsa:50;ACO1, ACONS, HEL60, IREB1, IREBP, IREBP1, IRP1;hsa00020
hsa:1431;CS;hsa00020
hsa:4190 hsa:4191;MDH1, HEL-S-32, MDH-s, MDHA, MGC:1375, MOR2;hsa00020
hsa:5091;PC, PCB;hsa00020
hsa:5160 hsa:5161 hsa:5162;PDHA1, PDHA, PDHAD, PDHCE1A, PHE1A;hsa00020
hsa:5160 hsa:5161 hsa:5162;PDHA1, PDHA, PDHAD, PDHCE1A, PHE1A;hsa00020
hsa:1738;DLD, DLDD, DLDH, E3, GCSL, LAD, PHE3;hsa00020
hsa:1737;DLAT, DLTA, PDC-E2, PDCE2;hsa00020
hsa:5105 hsa:5106;PCK1, PCKDC, PEPCK-C, PEPCK1, PEPCKC;hsa00020
hsa:6389 hsa:6390 hsa:6391 hsa:6392;SDHA, CMD1GG, FP, PGL5, SDH1, SDH2, SDHF;hsa00020
hsa:2821;GPI, AMF, GNPI, NLK, PGI, PHI, SA-36, SA36;hsa00030
hsa:64080;RBKS, RBSK, RK;hsa00030
hsa:55276;PGM2, MSTP006;hsa00030
hsa:51071;DERA, CGI-26, DEOC;hsa00030
hsa:221823 hsa:5631 hsa:5634;PRPS1L1, PRPS1, PRPS3, PRPSL, PRS-III;hsa00030
hsa:55276;PGM2, MSTP006;hsa00030
hsa:64080;RBKS, RBSK, RK;hsa00030
hsa:7086 hsa:8277 hsa:84076;TKT, HEL-S-48, HEL107, SDDHD, TK, TKT1;hsa00030
hsa:22934;RPIA, RPI, RPIAD;hsa00030
hsa:6120 hsa:729020;RPE, RPE2-1;hsa00030
hsa:7086 hsa:8277 hsa:84076;TKT, HEL-S-48, HEL107, SDDHD, TK, TKT1;hsa00030
hsa:226 hsa:229 hsa:230;ALDOA, ALDA, GSD12, HEL-S-87p;hsa00030
hsa:5211 hsa:5213 hsa:5214;PFKL, ATP-PFK, PFK-B, PFK-L;hsa00030
hsa:2203 hsa:8789;FBP1, FBP;hsa00030
hsa:2821;GPI, AMF, GNPI, NLK, PGI, PHI, SA-36, SA36;hsa00030
hsa:5226;PGD, 6PGD;hsa00030
hsa:25796;PGLS, 6PGL, HEL-S-304;hsa00030
hsa:2539;G6PD, G6PD1;hsa00030
hsa:414328;IDNK, C9orf103, bA522I20.2, hGntK;hsa00030
hsa:9104;RGN, GNL, HEL-S-41, RC, SMP30;hsa00030
hsa:6888;TALDO1, TAL, TAL-H, TALDOR, TALH;hsa00030
hsa:5236 hsa:55276;PGM1, CDG1T, GSD14;hsa00030
hsa:132158;GLYCTK, HBEBP2, HBEBP4, HBeAgBP4A;hsa00030
hsa:9563;H6PD, CORTRD1, G6PDH, GDH;hsa00030
hsa:5226;PGD, 6PGD;hsa00030
hsa:2539;G6PD, G6PD1;hsa00030
